Brand Name ,Smartphone Name,Phone Color,Storage(RAM | ROM),Phone Dispaly,Phone Camera,Phone Battery,Phone Price,URL
Google,Pixel 7a,Color,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,64MP (OIS) + 13MP | 13MP Front Camera,4300 mAh Battery,"₹40,999",https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGT5F26QJYZUZS.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 7a,Color,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,64MP (OIS) + 13MP | 13MP Front Camera,4300 mAh Battery,"₹40,999",https://www.flipkart.com/google-pixel-7a-charcoal-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQMHGWDYZQ7&lid=LSTMOBGZCQMHGWDYZQ71MTVC2&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGZCQMHGWDYZQ7.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 7a,Color,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,64MP (OIS) + 13MP | 13MP Front Camera,4300 mAh Battery,"₹40,999",https://www.flipkart.com/google-pixel-7a-snow-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQMZXYXCZCH&lid=LSTMOBGZCQMZXYXCZCHZFE45K&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGZCQMZXYXCZCH.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 7a,Color,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,64MP (OIS) + 13MP | 13MP Front Camera,4300 mAh Battery,"₹40,999",https://www.flipkart.com/google-pixel-7a-sea-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQM8PZEGRWU&lid=LSTMOBGZCQM8PZEGRWUHY0SFT&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGZCQM8PZEGRWU.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 8,Color,8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 12MP | 10.5MP Front Camera,4575 mAh Battery,"₹82,999",https://www.flipkart.com/google-pixel-8-hazel-256-gb/p/itm67e2a2531aaac?pid=MOBGT5F2R7MCUSWG&lid=LSTMOBGT5F2R7MCUSWGNYZQSJ&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGT5F2R7MCUSWG.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 8,Color,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 12MP | 10.5MP Front Camera,4575 mAh Battery,"₹75,999",https://www.flipkart.com/google-pixel-8-rose-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F22JFCABET&lid=LSTMOBGT5F22JFCABETVKHMHM&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGT5F22JFCABET.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 8,Color,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 12MP | 10.5MP Front Camera,4575 mAh Battery,"₹75,999",https://www.flipkart.com/google-pixel-8-hazel-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F2WD8HPTPZ&lid=LSTMOBGT5F2WD8HPTPZ4A9QHI&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGT5F2WD8HPTPZ.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 8,Color,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 12MP | 10.5MP Front Camera,4575 mAh Battery,"₹75,999",https://www.flipkart.com/google-pixel-8-obsidian-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F2KGVNAPYY&lid=LSTMOBGT5F2KGVNAPYYWJKL43&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGT5F2KGVNAPYY.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 7,Color,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 12MP | 10.8MP Front Camera,4270 mAh Battery,"₹46,999",https://www.flipkart.com/google-pixel-7-lemongrass-128-gb/p/itm45d75002be0e7?pid=MOBGHW44ZSN5EPGU&lid=LSTMOBGHW44ZSN5EPGURSVVHV&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGHW44ZSN5EPGU.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
Google,Pixel 7,Color,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) HD Display,50MP + 12MP | 10.8MP Front Camera,4270 mAh Battery,"₹46,999",https://www.flipkart.com/google-pixel-7-obsidian-128-gb/p/itm45d75002be0e7?pid=MOBGHW44NHFZJN6N&lid=LSTMOBGHW44NHFZJN6NICUEYB&marketplace=FLIPKART&q=pixel&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=62590978-f133-4b6d-b799-caff92e0fd32.MOBGHW44NHFZJN6N.SEARCH&ppt=hp&ppn=homepage&ssid=65m2ol11u80000001708110178774&qH=ab4086ecd47c568d
